Tempat, Latitude, Longitude
Kampus B STT-NF, -6.352856927533821, 106.8326460113508
NF Academy, -6.352537470401232, 106.83261592540863
Kampus A STT-NF, -6.36264001819274, 106.84449359858554
Balai Kota Depok, -6.393467927616715, 106.82139966981626
Stasiun Pondok Cina, -6.370227155105619, 106.83349378616202
