rumah sakit,latitude,longitude 
Bunda Margonda Hospital,-6.3698676,106.8213578
RSUI,-6.3729538,106.8109231
RS Mitra Keluarga,-6.393300359134525,106.82389308478021
Primaya Hospital Depok,-6.406782730588289, 106.85114401546923
Alia Hospital Depok,-6.404443984255706, 106.81885463874664
Eka Hosptal Depok,-6.382653841541823, 106.82907276943565
RS Tugu Ibu,-6.355384233745443, 106.86029208478018
RSUD Cilegon,-6.371529969614105, 106.83166530012474
