mall,latitude,longitude 
Pesona Square Mall,-6.37956927699439, 106.84398199833001
DMall Depok,-6.386137272457919, 106.82728793029833
MARGOCITY,-6.371977592945051, 106.83436896172563
ITC Depok,-6.391637928926777, 106.82352879899898
Detos,-6.371603194848821, 106.83156178365704
The Park Sawangan,-6.375150901928841, 106.744951783657
Citimall Cimanggis,-6.356069758076266, 106.85992174502495
Cinere Bellevue Mall,-6.316590359238006, 106.78239598365703
